title,description,location,price,label
Food Festival in Jaffna,"Join the food festival happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,1500,real
Music Concert in Kurunegala,"Join the music concert happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,1500,real
Food Festival in Trincomalee,"Join the food festival happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,2000,real
Art Exhibition in Kandy,"Join the art exhibition happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,1000,real
Educational Workshop in Jaffna,"Join the educational workshop happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,500,real
Crypto Double Money Event Batticaloa,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Batticaloa,2000,fake
Community Festival in Jaffna,"Join the community festival happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,1500,real
Cultural Dance Show in Anuradhapura,"Join the cultural dance show happening in Anuradhapura. Enjoy cultural performances, food stalls, and community activities.",Anuradhapura,1500,real
Community Festival in Trincomalee,"Join the community festival happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,1500,real
Art Exhibition in Polonnaruwa,"Join the art exhibition happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,1500,real
Music Concert in Colombo,"Join the music concert happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,500,real
Handicraft Fair in Trincomalee,"Join the handicraft fair happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,2000,real
Educational Workshop in Colombo,"Join the educational workshop happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,1500,real
Urgent VIP Ticket Offer Nuwara Eliya,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Nuwara Eliya,0,fake
Temple Perahera in Nuwara Eliya,"Join the temple perahera happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,1500,real
Cultural Dance Show in Kandy,"Join the cultural dance show happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,1500,real
Educational Workshop in Jaffna,"Join the educational workshop happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,1000,real
Lottery Winner Event Colombo,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Colombo,5000,fake
Urgent VIP Ticket Offer Anuradhapura,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Anuradhapura,5000,fake
Cultural Dance Show in Colombo,"Join the cultural dance show happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,0,real
Art Exhibition in Galle,"Join the art exhibition happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,1500,real
Food Festival in Nuwara Eliya,"Join the food festival happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,500,real
Village Drama in Polonnaruwa,"Join the village drama happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,1000,real
Limited Prize Giveaway Anuradhapura,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Anuradhapura,1000,fake
Educational Workshop in Colombo,"Join the educational workshop happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,1500,real
Food Festival in Colombo,"Join the food festival happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,0,real
Cultural Dance Show in Kandy,"Join the cultural dance show happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,1500,real
Cultural Dance Show in Matara,"Join the cultural dance show happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,1500,real
Community Festival in Kurunegala,"Join the community festival happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,1500,real
Educational Workshop in Polonnaruwa,"Join the educational workshop happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,0,real
Win Free iPhone Kalutara,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Kalutara,1000,fake
Temple Perahera in Badulla,"Join the temple perahera happening in Badulla. Enjoy cultural performances, food stalls, and community activities.",Badulla,500,real
